;Identificador;rc_clacul;ct_prepa_suelo;ct_k510ha;ct_k511ha;ct_afecta_prod;ct_riego;ct_superf_regada_ha;Tipo_riego;ct_fqui;ct_fqui_npk;ct_fqui_nit;ct_fqui_fos;ct_fqui_pot;su_fertilizada;ct_afito;pq_herb;ct_color_her_pq;pq_ins;ct_color_ins_pq;pq_fun;ct_color_fun_pq;su_plaguicidas;ct_prod;Ventas
12818;12085102119650002;507;2;,74;,74;6;1;,74;1;1;1,1023; ; ; ;,74;2; ; ; ; ; ; ; ;3;3
12820;12085102119650004;507;2;3;3;6;1;3;1;1; ;330,69; ; ;3;1;2;2; ; ; ; ;3;9;9
12823;12085102119650005;507;2;1,5;1,5;6;1;1,5;1;1; ;440,92; ; ;1,5;1;1;4; ; ; ; ;1,5;8;8
12824;12085102119650006;507;1;1;1;2;1;1;1;1; ;110,23; ; ;1;2; ; ; ; ; ; ; ;2,5;1,5
12825;12085102119650007;507;2;,5;,5;6;1;,5;1;1; ;110,23; ; ;,5;1;1;2; ; ; ; ;,5;3;3
12827;12085102119650008;507;2;1;1;6;1;1;1;1; ;330,69; ; ;1;1;1;2; ; ; ; ;1;8;8
12828;12085102119650009;507;2;1,5;1,5;6;1;1,5;1;1; ;440,92; ; ;1,5;1;1;5; ; ; ; ;1,5;9;9
12829;12085102119650010;507;2;,99;,99;6;1;,99;1;1; ;220,46; ; ;,99;1;1;2; ; ; ; ;,99;8;8
12830;12085102119650011;507;2;2,5;2,5;6;1;2,5;1;2; ; ; ; ; ;1;1;4; ; ; ; ;2,5;2;2
12832;12085102119650012;507;2;5;5;6;2; ;0;1; ;220,46; ; ;5;2; ; ; ; ; ; ; ;20;20
12833;12085102119650013;507;2;5;5;6;1;5;1;1; ;220,46; ; ;5;2; ; ; ; ; ; ; ;20;20
12834;12085102119650014;507;2;2;2;6;1;2;1;1; ;330,69; ; ;2;1;1;2; ; ; ; ;2;6;6
12835;12085102119650015;507;1;2;2;6;1;,5;1;1; ;440,92; ; ;2;1;2;4; ; ; ; ;2;6;6
12836;12085102119650015;507;1;2;2;6;1;,5;1;1; ;440,92; ; ;2;1;2;4; ; ; ; ;2;6;6
12837;12085102119650016;507;1;3,74;3,74;6;1;3,74;1;1; ;4,4092; ; ;3,74;1;3;4; ; ; ; ;3,74;10;10
12838;12085102119650017;507;1;1;1;6;2; ;0;1; ;200,0; ; ;1;1; ; ;1;5; ; ;1;1,5;1,5
12839;12085102119650017;507;1;1;1;6;2; ;0;1; ;300,0; ; ;1;1; ; ;1;5; ; ;1;4;4
12842;12085102121380001;507;2;,35;,35;6;2; ;0;1; ;110,23; ; ;,35;1; ; ;,5;4; ; ;,35;1,4;1,4
12844;12085102121380002;507;2;6;6;6;2; ;0;1; ;1102,3; ; ;6;2; ; ; ; ; ; ; ;36;30
12845;12085102121380003;507;2;10;10;6;2; ;0;2; ; ; ; ; ;2; ; ; ; ; ; ; ;36;28
12846;12085102121380004;507;2;5;5;6;2; ;0;1; ;220,46; ; ;5;2; ; ; ; ; ; ; ;19,5454545454545;19,5454545454545
12848;12085102121380005;507;2;1;1;6;2; ;0;2; ; ; ; ; ;2; ; ; ; ; ; ; ;3;3
12849;12085102121380005;507;2;1;1;6;1;1;1;2; ; ; ; ; ;2; ; ; ; ; ; ; ;3;1
12850;12085102121380007;507;2;7;7;6;2; ;0;1; ;440,92; ; ;7;2; ; ; ; ; ; ; ;45,5;44
12852;12085102121380009;507;2;10;10;6;2; ;0;2; ; ; ; ; ;2; ; ; ; ; ; ; ;40;40
12853;12085102121380010;507;2;3,5;3,5;6;2; ;0;1; ;330,69; ; ;3,5;2; ; ; ; ; ; ; ;14;12
12854;12085103003170003;507;2;77;77;6;2; ;0;1; ;33950,840000000004; ; ;77;1;1500;2; ; ; ; ;77;308;308
12855;12085103003170003;507;2;77;77;6;2; ;0;1; ;33950,840000000004; ; ;77;1;1500;2; ; ; ; ;77;308;308
12856;12085103003170004;507;2;12;12;6;2; ;0;1; ;3968,28; ; ;12;1;2;3; ; ; ; ;12;60;30
12857;12085103003170004;507;2;12;12;6;2; ;0;1; ;3306,9; ; ;12;2; ; ; ; ; ; ; ;50;50
12858;12085103003170005;507;2;97;97;6;2; ;0;1; ;3968,28; ; ;97;1;60;3; ; ; ; ;97;227,272727272727;227,272727272727
12859;12085103003170005;507;2;97;97;6;2; ;0;1; ;3968,28; ; ;97;1;60;3; ; ; ; ;97;227,272727272727;227,272727272727
12860;12085103003170005;507;2;97;97;6;1;97;1;1; ;3968,28; ; ;97;1;60;3; ; ; ; ;97;227,272727272727;227,272727272727
