;Identificador;rc_clacul;ct_prepa_suelo;ct_k510ha;ct_k511ha;ct_afecta_prod;ct_riego;ct_superf_regada_ha;Tipo_riego;ct_fqui;ct_fqui_npk;ct_fqui_nit;ct_fqui_fos;ct_fqui_pot;su_fertilizada;ct_afito;pq_herb;ct_color_her_pq;pq_ins;ct_color_ins_pq;pq_fun;ct_color_fun_pq;su_plaguicidas;ct_prod;Ventas
13016;12085002064990001;507;1;8,4672;8,4672;6;2; ;0;1;70,5472; ; ; ;8,4672;2; ; ; ; ; ; ; ;10,8;10,8
13023;12085002064990004;507;1;,7056;,7056;2;2; ;0;1;13,2276;13,2276; ; ;,7056;1; ; ;2;3; ; ;,7056;3,2;3,2
13026;12085002064990006;507;1;,7056;,7056;6;2; ;0;1;110,23; ; ; ;,7056;1;3;2; ; ; ; ;,7056;5,11363636363636;2,55681818181818
13029;12085002064990007;507;1;2,0815;2,0815;2;2; ;0;1;300,0;300,0; ; ;2,0815;1; ; ;6;3; ; ;2,0815;7,03977272727273;7,03977272727273
13054;12085002068770001;507;1;7,7616;7,7616;6;2; ;0;1; ;6062,650000000001;242,506;242,506;7,7616;1;33;2;12;5; ; ;7,7616;31,5;28,6363636363636
13056;12085002068770002;507;1;,1058;,1058;6;1;,1058;1;1; ;55,115; ; ;,1058;1; ; ;,5;5; ; ;,1058;,190909090909091; 
13059;12085002068770002;507;1;,3528;,3528;6;2; ;0;1; ;55,115; ; ;,3528;1;1;5;,5;5; ; ;,3528;1,24090909090909; 
13062;12085002068770003;507;1;1,4112;1,4112;6;2; ;0;1; ;1102,3;220,46;220,46;1,4112;1;6;2;3;3; ; ;1,4112;7,63636363636364;4,77272727272727
13065;12085002068770004;507;2;8,4672;8,4672;2;2; ;0;1;600,0; ; ; ;8,4672;1;2;2;1;3;,5;2;8,4672;18;18
13069;12085002068770005;507;1;,3528;,3528;2;2; ;0;1; ;220,46; ;110,23;,3528;1;5;2;,5;5; ; ;,3528;,477272727272727; 
13072;12085002068770005;507;1;,3528;,3528;2;2; ;0;1; ;330,69; ;55,115;,3528;1;2;2;,5;5; ; ;,3528;,572727272727273; 
13074;12085002068770007;507;1;1,2348;1,2348;6;2; ;0;1;110,23;149,9128; ;220,46;1,2348;1;5;5;2;5; ; ;1,2348;11,4545454545455;6,68181818181818
13076;12085002068770009;507;1;,3528;,3528;2;2; ;0;1;110,23;220,46; ; ;,3528;1;1;5;,5;5; ; ;,3528;,572727272727273; 
13084;12085002068860001;507;1;1,4112;1,4112;6;2; ;0;1;330,69;300,0; ; ;1,4112;1;4;4; ; ;26;5;1,4112;2,86363636363636; 
13091;12085002068860004;507;1;,3528;,1764;2;2; ;0;1; ;110,23; ;110,23;,3528;1;3;5;,5;3;1;5;,3528;,218181818181818;,218181818181818
13096;12085002068860005;507;1;,3528;,3528;2;2; ;0;1; ;110,23; ; ;,3528;1;1,25;4;,25;5; ; ;,3528;1,33636363636364;,286363636363636
13101;12085002068860007;507;1;,3528;,3528;2;2; ;0;1; ;110,23; ; ;,3528;1;1;2;,5;3;1;2;,3528;,954545454545455;,954545454545455
13112;12085002068860011;507;1;2,8224;2,8224;2;2; ;0;1; ;2204,6; ;1322,76;2,8224;1;12;2;9;2; ; ;2,8224;8,59090909090909;8,59090909090909
13121;12085002069590003;507;1;,3528;,3528;2;2; ;0;1; ;110,23; ; ;,3528;1;1,25;4;1,25;5; ; ;,3528;1,33636363636364;,286363636363636
13125;12085002069590004;507;1;,3528;,3528;6;2; ;0;1; ;400,0; ; ;,3528;1;1;4; ; ; ; ;,3528;1,09090909090909;1,09090909090909
13128;12085002069590005;507;1;,7056;,7056;6;2; ;0;1;110,23;400,0; ; ;,7056;1;1;5;,5;5; ; ;,7056;,545454545454545;,545454545454545
13131;12085002069590006;507;1;1,0584;1,0584;6;2; ;0;1;220,46;600,0; ; ;1,0584;1;1,5;4;1;1; ; ;1,0584;7,30909090909091;7,30909090909091
13133;12085002069590007;507;1;2,8224;2,8224;6;2; ;0;1;440,92;800,0; ; ;2,8224;1;8;5;4;5; ; ;2,8224;13,0909090909091;13,0909090909091
13135;12085002069650001;507;1;,4;,4;2;2; ;0;1;200,0;100,0; ; ;,4;1;1;3;1;2; ; ;,4;1,5;1,5
13139;12085002069650002;507;1;,7056;,7056;2;2; ;0;1;200,0;200,0; ; ;,7056;1;2;5;1;5; ; ;,7056;3;3
13146;12085002069650005;507;1;7;7;2;2; ;0;1;1400,0;1400,0; ; ;7;1;3;3; ; ; ; ;7;8;8
13153;12085002069650010;507;1;3,528;3,528;2;2; ;0;1; ;1500,0; ; ;3,528;1;2;2;3;3; ; ;3,528;6,27272727272727;6,27272727272727
13156;12085002069650010;507;1;,7056;,7056;2;2; ;0;1; ;300,0; ; ;,7056;1;1;2;2;3; ; ;,7056;1,25454545454545;1,25454545454545
13171;12085002069670004;507;2;1;1;2;2; ;0;1;200,0;200,0; ; ;1;1;1;3;1;3;,5;3;1;3,5;3,5
13175;12085002069670007;507;1;,7056;,7056;6;1;,7056;6;1;300,0;100,0; ; ;,7056;1;2;3;1;3; ; ;,7056;4;4
13178;12085002069670009;507;1;,7056;,7056;6;2; ;0;1;440,92;110,23; ; ;,7056;1;1;2;1;2;,5;2;,7056;4,6; 
13181;12085002069670010;507;1;,7056;,7056;6;2; ;0;1;165,345;75; ; ;,7056;1;6;4; ; ; ; ;,7056;6,5;5,5
13183;12085002069670011;507;1;3,528;3,528;6;2; ;0;1; ;2204,6;1102,3;1102,3;3,528;1;17;2;5;3; ; ;3,528;13,3636363636364;9,54545454545455
13190;12085002069670012;507;1;,8749;,8749;6;2; ;0;1;440,92;600,0; ; ;,8749;1;2;3;3;1; ; ;,8749;3,27272727272727;2,18181818181818
13194;12085002069670014;507;1;2,8224;2,8224;2;2; ;0;1;17,6368;6,6138; ; ;2,8224;1;12;3;2;3;2;3;2,8224;12,5454545454545;11,5
13197;12085002069670017;507;1;,3528;,3528;2;2; ;0;1; ;110,23;110,23;110,23;,3528;1;1;2;,5;5; ; ;,3528;,363636363636364; 
13203;12085002069670021;507;1;4,2336;4,2336;6;2; ;0;1; ;1763,68; ;881,84;4,2336;1;6;2;6;5; ; ;4,2336;28,6363636363636;28,6363636363636
13261;12085002073690001;507;1;2,8224;2,8224;6;2; ;0;1;440,92;2400,0; ; ;2,8224;1;4;4; ; ; ; ;2,8224;8;8
13357;12085002079070005;507;1;,5292;,5292;2;2; ;0;1; ;440,92; ;132,276;,5292;1;6;2;2;3; ; ;,5292;,35; 
13364;12085002079070009;507;1;,3528;,3528;5;2; ;0;1; ;330,69; ; ;,3528;1;2;2;,5;3; ; ;,3528;,572727272727273; 
13365;12085002079610001;507;1;1,4112;1,4112;2;2; ;0;1;22,046;22,046; ;22,046;1,4112;1;1;2;,25;2; ; ;1,4112;3,63636363636364; 
13377;12085002079610011;507;1;2;2;6;2; ;0;1;600,0;100,0; ; ;2;1;2;2;1;2;,2;3;2;9,54545454545455;9,54545454545455
13378;12085002079610012;507;1;4,9392;4,9392;2;2; ;0;1;150,0;150,0; ; ;4,9392;1;1;3;1;3;1;3;4,9392;19,0909090909091;5,45454545454545
13380;12085002079610012;507;1;2,1168;2,1168;2;2; ;0;1;150,0;150,0; ; ;2,1168;1;1;3;1;3;1;3;2,1168;8,18181818181818;8,18181818181818
13393;12085002081850003;507;1;,7056;,7056;1;2; ;0;1; ;66,138; ;330,69;,7056;1;2;2;,5;3; ; ;,7056;2,86363636363636;2,86363636363636
13395;12085002081850004;507;1;,3528;,3528;5;1;,3528;1;1; ;220,46; ;110,23;,3528;1;1,5;2;,5;3; ; ;,3528;1,43181818181818; 
13398;12085002081850006;507;1;,3528;,3528;6;2; ;0;1; ;220,46; ; ;,3528;1;1;5;1;5; ; ;,3528;1,71818181818182;1,71818181818182
13413;12085002083220005;507;1;,1058;,1058;2;2; ;0;1; ;10; ; ;,1058;1;,15;2;,25;5; ; ;,1058;,0727272727272727; 
13417;12085002083220008;507;1;,5;,5;2;2; ;0;2; ; ; ; ; ;1;5;4; ; ; ; ;,5;,436363636363636; 
13419;12085002083220009;507;1;,5;,5;2;2; ;0;1;100,0;100,0; ; ;,5;1;,5;3;,5;2;,1;2;,5;,477272727272727; 
13464;12085002084370012;507;1;2;2;2;2; ;0;1;881,84;881,84; ;8,8;2;1;8;2;3;2;,5;3;2;3;3
13493;12085002087160004;507;1;2,97;2,97;5;2; ;0;1; ;992,07; ;661,38;2,97;1;3;2;2;5; ; ;2,97;6,3;4,58181818181818
13498;12085002087160006;507;1;1;1;6;2; ;0;1;551,15;551,15; ; ;1;1;20,0;3;,5;2; ; ;1;3,27272727272727;2,18181818181818
13504;12085002087160007;507;1;,7056;,7056;2;2; ;0;1;200,0;200,0; ; ;,7056;1;1;2;,25;2;,25;1;,7056;2,27272727272727; 
13522;12085002091070005;507;2;1,4112;1,4112;6;2; ;0;1;700,0;700,0; ; ;1,4112;1;6;2;1;2; ; ;1,4112;12;10
13524;12085002091070007;507;2;,7056;,7056;6;2; ;0;1;300,0;300,0; ; ;,7056;1;3;2;,5;2; ; ;,7056;6,27272727272727;5,22727272727273
13539;12085002092700003;507;2;,1;,1;5;1;,1;1;1;55,115; ; ; ;,1;2; ; ; ; ; ; ; ;,227272727272727; 
13543;12085002092760001;507;2;,7056;,7056;2;1;,7056;1;1;110,23; ; ; ;,7056;1;1;2; ; ; ; ;,7056;1,33636363636364; 
13544;12085002092760002;507;2;,3528;,3528;2;1;,3528;1;1; ;110,23; ; ;,3528;1;1;4; ; ; ; ;,3528;,954545454545455;,190909090909091
13546;12085002092760003;507;2;,7056;,7056;2;1;,7056;1;1;661,38; ; ; ;,7056;1;4;2;1;3; ; ;,7056;1,81363636363636;1,33636363636364
13547;12085002092760003;507;2;,7056;,7056;2;1;,7056;1;1;661,38; ; ; ;,7056;1;4;2;1;3; ; ;,7056;1,81363636363636;1,33636363636364
13561;12085002095400001;507;2;,1764;,1764;6;2; ;0;2; ; ; ; ; ;2; ; ; ; ; ; ; ;,818181818181818; 
13562;12085002095400001;507;2;,1764;,1764;2;2; ;0;2; ; ; ; ; ;2; ; ; ; ; ; ; ;,636363636363636; 
13563;12085002095400002;507;2;,25;,25;6;2; ;0;2; ; ; ; ; ;2; ; ; ; ; ; ; ;,727272727272727;,727272727272727
13564;12085002095400002;507;2;,25;,25;6;2; ;0;2; ; ; ; ; ;2; ; ; ; ; ; ; ;,727272727272727;,545454545454545
13565;12085002095400003;507;2;,25;,25;6;2; ;0;2; ; ; ; ; ;2; ; ; ; ; ; ; ;,545454545454545; 
13566;12085002095400004;507;2;1,4112;1,4112;2;1;1,4112;3;2; ; ; ; ; ;2; ; ; ; ; ; ; ;,636363636363636;,181818181818182
13567;12085002095400004;507;2;1,4112;1,4112;2;1;1,4112;3; ; ; ; ; ; ;2; ; ; ; ; ; ; ;,727272727272727;,181818181818182
13568;12085002095400004;507;2;,1764;,1764;2;1;,1764;3;2; ; ; ; ; ;2; ; ; ; ; ; ; ;,363636363636364;,136363636363636
13569;12085002095400004;507;2;,1764;,1764;2;1;,1764;3;2; ; ; ; ; ;2; ; ; ; ; ; ; ;,363636363636364; 
13570;12085002095400004;507;2;1,0584;1,0584;2;1;1,0584;3;2; ; ; ; ; ;2; ; ; ; ; ; ; ;,909090909090909; 
13571;12085002095400004;507;1;1,0584;1,0584;2;1;,882;3;2; ; ; ; ; ;2; ; ; ; ; ; ; ;,727272727272727; 
13574;12085002095400006;507;1;,7056;,7056;2;1;,7056;1;1;551,15; ; ; ;,7056;1; ; ;1;5; ; ;,7056;3,18181818181818;1,81818181818182
13575;12085002095400007;507;2;,3528;,3528;2;1;,3528;1;1;110,23;110,23; ; ;,3528;1;,5;4; ; ; ; ;,3528;1,7;,3
13576;12085002095400007;507;2;,3528;,3528;2;1;,3528;1;1;110,23;110,23; ; ;,3528;1;,5;4; ; ; ; ;,3528;1,2;1,2
13577;12085002095400008;507;2;,1411;,1411;1;2; ;0;2; ; ; ; ; ;2; ; ; ; ; ; ; ;,363636363636364; 
13578;12085002095400008;507;2;,1058;,1058;2;2; ;0;2; ; ; ; ; ;2; ; ; ; ; ; ; ;,272727272727273; 
13579;12085002095400008;507;2;,1058;,1058;2;2; ;0;2; ; ; ; ; ;2; ; ; ; ; ; ; ;,272727272727273; 
13580;12085002095400009;507;2;,2117;,2117;2;1;,2117;1;2; ; ; ; ; ;1; ; ;,33;5; ; ;,2117;,227272727272727; 
13581;12085002095400009;507;2;,2117;,2117;2;1;,2117;1;2; ; ; ; ; ;1; ; ;,33;5; ; ;,2117;,181818181818182; 
13582;12085002095400009;507;2;,2822;,2822;2;1;,2822;1;2; ; ; ; ; ;1; ; ;,34;5; ; ;,2822;,181818181818182; 
13585;12085002095400010;507;2;,5;,5;5;1;,5;1;1;110,23; ; ; ;,5;1;1;4;1;4; ; ;,5;1; 
13587;12085002095400011;507;2;2,1168;2,1168;5;1;2,1168;1;1;1763,68; ; ; ;2,1168;1;3;2;1;2; ; ;2,1168;8;4,6
13588;12085002095400012;507;2;1,4112;1,4112;5;1;1,4112;1;1;1873,91; ; ; ;1,4112;1;3;5;,5;5; ; ;1,4112;6;4,3
13607;12085002098080006;507;2;,48;,48;6;2; ;0;1;55,115;330,69; ; ;,48;1;2;5;4;5;,5;5;,48;1,09090909090909;,909090909090909
13616;12085002098080012;507;2;,7056;,7056;5;2; ;0;1; ;400,0; ; ;,7056;1;2,5;2; ; ;,5;2;,7056;3,27272727272727;3,27272727272727
13617;12085002098080013;507;2;1,4112;1,4112;2;1;1,4112;1;1; ;300,0;300,0; ;1,4112;1;2;2; ; ; ; ;1,4112;7,5;6
13664;12085002103000004;507;2;2,1168;2,1168;2;1;2,1168;1;1;600,0;600,0; ; ;2,1168;1;2,25;2;2,25;2;2,25;2;2,1168;15;15
13665;12085002103000004;507;2;2,1168;2,1168;2;1;2,1168;1;1;600,0;600,0; ; ;2,1168;1;2,25;2;2,25;2;2,25;2;2,1168;15;15
13666;12085002103000004;507;2;2,8224;2,8224;2;1;2,8224;1;1;800,0;800,0; ; ;2,8224;1;3;2;3;2;3;2;2,8224;20;20
13667;12085002103000004;507;2;2,8224;2,8224;2;1;2,8224;1;1;800,0;800,0; ; ;2,8224;1;3;2;3;2;3;2;2,8224;20;20
13668;12085002103000004;507;2;3,528;3,528;2;1;3,528;1;1;1000,0;1000,0; ; ;3,528;1;3,75;2;3,75;2;3,75;2;3,528;25;25
13669;12085002103000004;507;2;3,528;3,528;2;1;3,528;1;1;1000,0;1000,0; ; ;3,528;1;3,75;2;3,75;2;3,75;2;3,528;25;25
13732;12085102110980001;507;1;1,5735;,7056;6;2; ;0;1; ;606,265; ; ;1,5735;2; ; ; ; ; ; ; ;2,6; 
13734;12085102110980002;507;1;1,0584;1,0584;1;2; ;0;1; ;1000,8884; ; ;1,0584;1;2;3;,3;3; ; ;1,0584;5,68181818181818;5,68181818181818
13736;12085102110980002;507;1;,3528;,3528;2;2; ;0;1; ;399,0326; ; ;,3528;1;1;3;,3;3; ; ;,3528;1,36363636363636; 
13738;12085102110980002;507;1;1,2348;,7056;1;2; ;0;1;793,6560000000001; ; ; ;1,2348;1;2;2;,5;2; ; ;1,2348;1,70454545454545;1,70454545454545
13740;12085102110980002;507;2;,7056;,7056;1;2; ;0;1;793,6560000000001; ; ; ;,7056;1;2;2;,5;2; ; ;,7056;2,27272727272727;2,27272727272727
13741;12085102110980002;507;2;,7056;,7056;1;2; ;0;1;793,6560000000001; ; ; ;,7056;1;2;2;,5;2; ; ;,7056;2,27272727272727;2,27272727272727
13742;12085102110980003;507;1;,7056;,5292;1;2; ;0;1;385,805;385,805; ; ;,7056;1;1;2; ; ; ; ;,7056;2,72727272727273;2,72727272727273
13744;12085102110980010;507;2;1;,75;6;2; ;0;1; ;110,23; ; ;1;1;1;4; ; ; ; ;1;1,43181818181818; 
13745;12085102110980011;507;1;,25;,15;3;2; ;0;1; ;110,23; ; ;,25;1;1;2; ; ; ; ;,25;,181818181818182; 
13747;12085102110980012;507;1;,2;,2;6;2; ;0;1; ;220,46; ; ;,2;1;3;5; ; ; ; ;,2;,636363636363636; 
13748;12085102110980013;507;1;,25;,25;6;2; ;0;1; ;110,23; ; ;,25;1;1;2; ; ; ; ;,25;,7;,3
13750;12085102110980014;507;1;,25;,25;2;2; ;0;1;110,23;110,23; ; ;,25;1;,5;3;,5;3; ; ;,25;1; 
13752;12085102110980015;507;1;,25;,25;6;2; ;0;1; ;8,8; ; ;,25;1;1;4; ; ; ; ;,25;1,53409090909091; 
13754;12085102110980016;507;1;,49;,3;6;2; ;0;1;3,3069; ; ; ;,49;1;1;2; ; ; ; ;,49;2;1
