;Identificador;rc_clacul;ct_prepa_suelo;ct_k510ha;ct_k511ha;ct_afecta_prod;ct_riego;ct_superf_regada_ha;Tipo_riego;ct_fqui;ct_fqui_npk;ct_fqui_nit;ct_fqui_fos;ct_fqui_pot;su_fertilizada;ct_afito;pq_herb;ct_color_her_pq;pq_ins;ct_color_ins_pq;pq_fun;ct_color_fun_pq;su_plaguicidas;ct_prod;Ventas
13756;12085102110980017;507;1;,45;,45;2;2; ;0;1; ;440,92; ; ;,45;1;4,5;4; ; ; ; ;,45;2,72727272727273; 
13758;12085102110980023;507;2;1;,5;6;2; ;0;1; ;50; ; ;1;1;,1;2; ; ; ; ;1;1,45454545454545; 
13760;12085102110980024;507;2;,5;,25;2;2; ;0;1; ;50; ; ;,5;1;1;3; ; ; ; ;,5;,6; 
13762;12085102110980025;507;1;1;,5;2;2; ;0;1; ;330,69; ; ;1;1;3;2;,2;2; ; ;1;2,5; 
13764;12085102110980026;507;2;1,5;1,5;6;2; ;0;1;551,15; ; ; ;1,5;1;5;5;5;3; ; ;1,5;13,6363636363636;9,09090909090909
13766;12085102110980026;507;2;1,25;1,25;6;2; ;0;1; ;220,46; ; ;1,25;1;4;5;,4;5;,5;2;1,25;11,3636363636364;11,3636363636364
13768;12085102110980027;507;2;2;2;6;2; ;0;1; ;330,69; ; ;2;2; ; ; ; ; ; ; ;7;3,5
13770;12085102110980034;507;1;,5;,25;2;2; ;0;1; ;330,69; ; ;,5;1;7;4; ; ; ; ;,5;,9;,3
13772;12085102110980036;507;1;,5292;,2611;2;2; ;0;1; ;330,69; ; ;,5292;1;1;5; ; ; ; ;,5292;,6; 
13774;12085102110980037;507;1;1;,75;2;2; ;0;1;220,46;330,69;165,345;2,2046;1;1;6;4; ; ; ; ;1;2,27272727272727; 
13776;12085102110980038;507;1;,5292;,5292;1;2; ;0;1;110,23;110,23; ; ;,5292;1;3;4; ; ; ; ;,5292;,909090909090909; 
13778;12085102110980039;507;2;1,5;,75;1;2; ;0;1;220,46;220,46; ; ;1,5;1;1;5;,25;5; ; ;1,5;3;2,8
13780;12085102110980040;507;2;,5;,5;2;2; ;0;1; ; ;110,23; ;,5;1;0,68025;1; ; ; ; ;,5;1;,5
13782;12085102110980041;507;1;,99;,25;2;2; ;0;1; ;330,69; ; ;,99;1;1;5; ; ; ; ;,99;,8; 
13784;12085102110980041;507;1;1;,5;2;2; ;0;1; ;330,69; ; ;1;1;1;5; ; ; ; ;1;1,6;1,6
13786;12085102110980042;507;1;1,5;1,5;6;1;1,5;6;1; ;440,92; ; ;1,5;1;4;1; ; ; ; ;1,5;3,5;2,5
13788;12085102110980043;507;2;,5292;,3528;6;2; ;0;1; ;220,46; ; ;,5292;1;2;2;1;3; ; ;,5292;2;1,18181818181818
13789;12085102110980043;507;2;,882;,882;6;2; ;0;1; ;220,46; ; ;,882;1;2;3;1;3; ; ;,882;4,09090909090909;4,09090909090909
13791;12085102110980048;507;1;1,25;1,25;1;2; ;0;1; ;220,46; ; ;1,25;1;1;3; ; ; ; ;1,25;4,54545454545455;3,54545454545455
13793;12085102110980049;507;1;1,5;1,5;2;2; ;0;1; ;110,23; ; ;1,5;1;1;2;,5;3; ; ;1,5;6,36363636363636;5,45454545454545
13908;12085102119650001;507;2;,8;,8;6;2; ;0;1; ;220,46; ; ;,8;1;,12;3; ; ; ; ;,8;2,38636363636364;2,38636363636364
13909;12085102119650001;507;2;,2;,2;6;2; ;0;1; ;110,23; ; ;,2;1;,5;3; ; ; ; ;,2;,681818181818182;,340909090909091
13910;12085102119650002;507;2;,25;,25;5;2; ;0;1; ;110,23; ; ;,25;1;,25;3; ; ; ; ;,25;1,59090909090909;1,59090909090909
13911;12085102119650002;507;2;,75;,75;6;2; ;0;1; ;220,46; ; ;,75;1;,75;3; ; ; ; ;,75;2,84090909090909;2,84090909090909
13913;12085102119650003;507;2;2;2;6;2; ;0;1;220,46; ; ; ;2;2; ; ; ; ; ; ; ;7,09090909090909;5,90909090909091
13914;12085102119650004;507;2;1;1;6;2; ;0;1;220,46; ; ; ;1;1;2;3; ; ; ; ;1;2,95454545454545;2,95454545454545
13915;12085102119650005;507;2;,75;,75;6;2; ;0;1; ;551,15; ; ;,75;1;1;3; ; ; ; ;,75;3,63636363636364;3,63636363636364
13916;12085102119650005;507;2;,5;,5;6;2; ;0;1; ;330,69; ; ;,5;1;1;3; ; ; ; ;,5;2,04545454545455;2,04545454545455
13918;12085102119650005;507;1;,25;,25;6;2; ;0;1; ;165,345; ; ;,25;1;,5;3; ; ; ; ;,25;1,13636363636364;,909090909090909
13919;12085102119650006;507;2;1;1;6;2; ;0;1;220,46; ; ; ;1;1;1;3; ; ; ; ;1;1,45454545454545;,909090909090909
13921;12085102119650007;507;2;,82;,82;6;2; ;0;1; ;110,23; ; ;,82;1;,5;2; ; ; ; ;,82;3,07272727272727;3,07272727272727
13922;12085102119650007;507;2;,18;,18;6;2; ;0;2; ; ; ; ; ;2; ; ; ; ; ; ; ;,709090909090909; 
13923;12085102119650008;507;2;1;1;2;2; ;0;1;8,8184;661,38; ; ;1;1; ; ;1;5; ; ;1;4,72727272727273; 
13924;12085102119650008;507;2;1;1;2;2; ;0;1;8,8184;661,38; ; ;1;1; ; ;1;5; ; ;1;4,72727272727273;4,72727272727273
13925;12085102119650009;507;2;1;1;6;2; ;0;2; ; ; ; ; ;2; ; ; ; ; ; ; ;1,4;1,1
13926;12085102119650009;507;2;,5;,5;6;2; ;0;2; ; ; ; ; ;2; ; ; ; ; ; ; ;,7;,7
13927;12085102119650010;507;2;1;1;6;2; ;0;2; ; ; ; ; ;2; ; ; ; ; ; ; ;2,7;2,7
13928;12085102119650011;507;2;1,0584;1,0584;2;2; ;0;2; ; ; ; ; ;2; ; ; ; ; ; ; ;3,81818181818182;3,36363636363636
13929;12085102119650011;507;2;1,9404;1,9404;2;2; ;0;2; ; ; ; ; ;2; ; ; ; ; ; ; ;7,63636363636364;7,63636363636364
13931;12085102119650012;507;2;1,0584;1,0584;6;2; ;0;2; ; ; ; ; ;2; ; ; ; ; ; ; ;2,5;2,5
13932;12085102119650013;507;2;,1764;,1764;6;2; ;0;1;110,23; ; ; ;,1764;1; ; ;,07;3; ; ;,1764;1;1
13933;12085102119650013;507;2;,5292;,5292;6;2; ;0;1;220,46; ; ; ;,5292;1; ; ;,07;3; ; ;,5292;2,2;2
13934;12085102119650013;507;2;1,4112;1,4112;6;2; ;0;1;220,46; ; ; ;1,4112;1; ; ;,03;3; ; ;1,4112;3,5;3,3
13936;12085102119650016;507;2;,1764;,1764;6;2; ;0;1;55,115;55,115; ; ;,1764;1; ; ;1;3; ; ;,1764;1,5;1,5
13937;12085102119650017;507;2;,4586;,4586;6;2; ;0;2; ; ; ; ; ;1;,2;2; ; ; ; ;,4586;2;1,5
14508;12085151000993398;507;2;10;10;6;2; ;0;1;8800,0; ; ; ;10;1;20;4; ; ; ; ;10;38,1818181818182;38,1818181818182
