;Identificador;ct_clacul;ct_prepa_suelo;ct_k510h;ct_k511h;ct_afecta_prod;ct_riego;ct_superf_regada_ha;Tipo_riego;ct_fqui;ct_fqui_npk;ct_fqui_nit;ct_fqui_fos;ct_fqui_pot;su_fertilizada;ct_pqui;pq_herb;ct_color_her_pq;pq_ins;ct_color_ins_pq;pq_fun;ct_color_fun_pq;su_plaguicidas;ct_prod;Ventas
12970;12085002100430009;507;2;2; ; ;2; ;0;1;881,84;440,92; ; ;2;1;1;1;1;3;1;5;2; ; 
12971;12085002100430012;507;2;4;4;2;2; ;0;1;2645,52;881,84; ;440,92;4;1;,8;2;4;1;4;2;4;23,63636364;12,27272727
12972;12085002100430012;507;2;4;4;2;1;4;1;1;2645,52;881,84; ;440,92;4;1;,8;2;4;1;4;2;4;23,63636364;12,27272727
12973;12085002100580001;507;1;1;1;2;2; ;0;1;2,2046;220,46; ; ;1;1; ; ;1;2; ; ;1;3;2,7
12974;12085002100580001;507;1;,5;,5;2;1;,25;1;1;1,1023;220,46; ; ;,5;1; ; ;,25;2; ; ;,5;1,8;1,8
12975;12085002100580001;507;1;,5;,5;2;1;,25;1;1;1,1023;220,46; ; ;,5;1; ; ;,25;2; ; ;,5;1,6;,8
12976;12085002100580002;507;1;,5;,5;2;2; ;0;1;330,69; ; ; ;,5;1;1,5;4; ; ; ; ;,5;,93181818;,74545455
12977;12085002100580003;507;1;,6;,6;2;2; ;0;1;220,46; ; ; ;,6;1;1;4;1;4;1;4;,6;1,90909091; 
12978;12085002100580004;507;1;3,75;3,75;2;1;3,75;1;1;1200,0; ; ; ;3,75;1;12;4;15;3; ; ;3,75;14;11
12979;12085002100580004;507;1;,25;,25;2;2; ;0;1;100,0; ; ; ;,25;1;1;4;3;3; ; ;,25;1,5;1,5
12980;12085002100580005;507;1;,75;,75;2;2; ;0;1; ;100,0;100,0; ;,75;1;,5;3;,5;3; ; ;,75;2,38636364;1,90909091
12981;12085002100580006;507;1;,3;,3;2;2; ;0;1;220,46; ; ; ;,3;1;1;3; ; ; ; ;,3;,95454545;,66818182
12982;12085002100580007;507;1;1;1;2;2; ;0;1;200,0; ; ; ;1;1;1;3;1;3;1;3;1;3,81818182;2,86363636
12983;12085002100580007;507;1;1;1;2;2; ;0;1;200,0; ; ; ;1;1;1;3;1;3;1;3;1;3,81818182;3,81818182
12984;12085002100580008;507;1;,4;,4;2;2; ;0;1;100,0; ; ; ;,4;1;,5;3;,5;3;,5;3;,4;,97727273;,97727273
12985;12085002100580008;507;1;1;1;2;2; ;0;1;400,0; ; ; ;1;1;1;3;1;3;1;3;1;3,90909091;2,44318182
12986;12085002100580009;507;2;1,5;1,5;2;2; ;0;1;440,92; ; ; ;1,5;1;1;4; ; ; ; ;1,5;5,25;4,77272727
12987;12085002100580009;507;2;1;1;2;2; ;0;1;220,46; ; ; ;1;1;,5;4; ; ; ; ;1;3,34090909;3,34090909
12988;12085002100580010;507;1;1;1;2;1;1;1;1;220,00000000000003;220,00000000000003; ; ;1;1;1;2;1;2; ; ;1;3,3;2,6
12989;12085002100580010;507;1;1;1;2;1;1;1;1;220,00000000000003;220,00000000000003; ; ;1;1;1;2;1;2; ; ;1;2,5;2,5
12990;12085002100580010;507;1;,1;,1;2;1;,1;1;1;0,55;0,55; ; ;,1;1;,25;2;,25;2; ; ;,1;,2;,2
12991;12085002100580010;507;1;,1;,1;2;1;,1;1;1;0,55;0,55; ; ;,1;1;,25;2;,25;2; ; ;,1;,2;,2
12992;12085002100580010;507;1;,75;,75;2;1;,75;1;1;220,00000000000003;220,00000000000003; ; ;,75;1;1;2;1;2; ; ;,75;3;3
12993;12085002100580010;507;1;,75;,75;2;1;,75;1;1;220,00000000000003;220,00000000000003; ; ;,75;1;1;2;1;2; ; ;,75;2,6;2,6
12994;12085002100580011;507;2;1,75;1,75;2;2; ;0;1;150,0; ; ; ;1,75;1;2;4; ; ; ; ;1,75;4,10454545;4,10454545
12995;12085002100580011;507;2;1,75;1,75;2;1;1,75;1;1;150,0; ; ; ;1,75;1;2;4; ; ; ; ;1,75;4,10454545;4,10454545
12996;12085002100580011;507;2;,25;,25;2;2; ;0;1;50,0; ; ; ;,25;1;,5;4; ; ; ; ;,25;,57272727; 
12997;12085002100580011;507;2;,25;,25;2;1;,25;1;1;50,0; ; ; ;,25;1;,5;4; ; ; ; ;,25;,57272727;,57272727
12998;12085002100580012;507;1;,75;,75;2;1;,75;1;1;2,2046; ; ; ;,75;1;1;2; ; ; ; ;,75;2,86363636;2,57727273
12999;12085002100580012;507;1;,75;,75;2;1;,75;1;1;2,2046; ; ; ;,75;1;1;2; ; ; ; ;,75;1,90909091;1,90909091
13000;12085002100580014;507;1;,5;,5;2;1;,5;1;1;300,0; ; ; ;,5;1;1;4; ; ; ; ;,5;3;2
13001;12085002100580014;507;1;2,48;2,48;2;1;2,48;1;1;800,0; ; ; ;2,48;1;4;4; ; ; ; ;2,48;8;8
13002;12085002100580015;507;1;,74;,74;2;2; ;0;1;220,46; ; ; ;,74;1;1,5;4; ; ; ; ;,74;2,38636364;1,90909091
13003;12085002100580016;507;1;5;4;2;2; ;0;1;551,15; ; ; ;5;1;2;4; ; ; ; ;5;13,04545455;11,18181818
13004;12085002100580017;507;1;,75;,75;2;2; ;0;1;200,0; ; ; ;,75;1;1;4; ; ; ; ;,75;2;1,7
13005;12085002100580017;507;1;,75;,75;2;1;,75;1;1;200,0; ; ; ;,75;1;1;4; ; ; ; ;,75;2;2
13006;12085002100580018;507;1;2;2;2;2; ;0;1;600,0; ; ; ;2;1;2;4;1,5;4; ; ;2;7;7
13007;12085002100580018;507;1;2;2;2;1;2;1;1;600,0; ; ; ;2;1;2;4;1,5;4; ; ;2;6,5;5,5
13008;12085002100580019;507;1;,69;,69;2;1;,69;1;1;110,23;220,46; ; ;,69;1;,5;2;,5;2; ; ;,69;2,2;1,5
13009;12085002100580019;507;1;,69;,69;2;1;,69;1;1;110,23;220,46; ; ;,69;1;,5;2;,5;2; ; ;,69;1,8;1,8
13010;12085002100580020;507;1;,75;,75;2;2; ;0;1;330,69; ; ; ;,75;1;1;4; ; ; ; ;,75;1;,8
13011;12085002100580021;507;1;1,5;1,5;2;2; ;0;1;300,0; ; ; ;1,5;1;1,5;4;1;4; ; ;1,5;4,88636364;3,90909091
13012;12085002100580021;507;1;1,5;1,5;2;1;1,5;1;1;300,0; ; ; ;1,5;1;1,5;4;1;4; ; ;1,5;4,88636364;3,90909091
13013;12085002100580022;507;2;1,3;1,3;2;2; ;0;1;330,69; ; ; ;1,3;1;1,5;3;1;3; ; ;1,3;4,5;4
13015;12085002100580023;507;1;,5;,5;2;2; ;0;1;220,46;110,23; ; ;,5;1;1;2; ; ; ; ;,5;1,71818182;1,71818182
13016;12085002100580023;507;1;,75;,75;2;2; ;0;1;220,46;110,23; ; ;,75;1;1;2; ; ; ; ;,75;2,48181818;,90909091
13017;12085002100790003;507;2;,7056;,7056;5;1;,7056;6;2; ; ; ; ; ;2; ; ; ; ; ; ; ;2,6; 
13018;12085002100790005;507;2;,4657;,4657;2;2; ;0;1; ;291,0072; ; ;,4657;1; ; ;,33;2; ; ;,4657;3;1,54545455
13019;12085002100790005;507;2;,9314;,9314;2;1;,9314;1;1; ;582,0144; ; ;,9314;1; ; ;,66;2; ; ;,9314;6,1;3,27272727
13020;12085002100790005;507;2;,4798;,4798;2;1;,4798;1;1; ;299,8256; ; ;,4798;1; ; ;,34;2; ; ;,4798;3,7;1,59090909
13024;12085002103630002;507;1;,5;,5;2;2; ;0;1;110,23; ; ; ;,5;1;1;5;1;5;1;5;,5;1,5;,68181818
13025;12085002103630013;507;1;3,99;3,99;1;2; ;0;1;1322,76;440,92; ; ;3,99;1;3;2;3;2; ; ;3,99;11,45454545;5,22727273
13027;12085002103630015;507;1;,75;,75;1;2; ;0;1;440,92; ; ; ;,75;1;1;3;,5;3;,5;3;,75;,8; 
